custnmbr,addrcode,custname,address1,address2,address3,ccode,city,country,state,zip
B78C827,AF6E26D,CBNU AS EGAMT FOR TTBX HOLDINGS (NUPPXAGETA) INC                 ,1004 MIDDLEGATE ROAD                                         ,                                                             ,                                                             ,CA     ,MISSISSAUGA                        ,CA                                                           ,ONTARIO                      ,L4Y 1M4    
DC3A410,DCFC9B3,WEPPUMGTOM NCCXAEM & CO                                          ,& 1665637 ONTARIO                                            ,275 KING ST EAST                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5K 1K2    
9584571,B76C324,UMMOVETUVA BXEZT TECHNOLOGIES                                    ,20 MYLER STREET                                              ,                                                             ,                                                             ,CA     ,HAMILTON                           ,Canada                                                       ,ONTARIO                      ,L8L 0B9    
F53F265,E230D48,THE CORP OF THE CITY OF BTEMTFOTP                                ,BRANTFORD CITY HALL                                          ,100 WELLINGTON ST                                            ,                                                             ,CA     ,BRANTFORD                          ,Canada                                                       ,ON                           ,N3T 2M2    
F53F265,D09E654,THE CORP OF THE CITY OF BTEMTFOTP                                ,254 NORTH PARK ST                                            ,WAYNE GRETZKY SPORTS CENTRE                                  ,Attn: Carl Kristensen                                        ,CA     ,BRANTFORD                          ,Canada                                                       ,ON                           ,N3R 4L1    
01B365F,DCFC9B3,WOMPAT BTEMPZ                                                    ,C/O ROCHESTER MIDLAND LTD.                                   ,5353 JOHN LUCAS DRIVE - STE. 103                             ,                                                             ,CA     ,BURLINGTON                         ,Canada                                                       ,ONTARIO                      ,L7L 6G5    
68171EC,3376014,THE XOPAM HOTEL                                                  ,1177 MELVILLE ST                                             ,                                                             ,                                                             ,CA     ,VANCOUVER                          ,Canada                                                       ,BRITISH COLUMBIA             ,V6E 0E3    
9C13E2D,1CC232D,VT MECHANICAL SOLUTIONS INC                                      ,464 KINGSTON RD W                                            ,                                                             ,                                                             ,CA     ,AJAX                               ,ca                                                           ,ON                           ,L1T 3A3    
71C0D06,AC571B4,BGUZ CANADA LP                                                   ,LAB BUILDING                                                 ,4905 DUFFERIN ST                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M3H 5T4    
4DE9555,21FE704,POMUT TUNA                                                       ,35 ADESSO DRIVE                                              ,                                                             ,                                                             ,CA     ,CONCORD                            ,Canada                                                       ,ONTARIO                      ,L4K 3C7    
45EF056,8ED1B78,EUMZWOTTH INC                                                    ,"6300 VISCOUNT RD, UNIT 1                                     ",                                                             ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ONTARIO                      ,L4V 1H3    
45EF056,A890304,EUMZWOTTH INC                                                    ,SEARS CANADA                                                 ,LES GALERIES RIVE-NORD                                       ,100 BOUL BRIEN                                               ,CA     ,REPENTIGNY                         ,Canada                                                       ,QUEBEC                       ,J6A 5N4    
DF781E3,544496A,PTAEN ZUNNUT UMPUZTTUEX (ONTARIO) LP                             ,1 CITY CENTRE DR SUITE 300                                   ,                                                             ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ON                           ,L5B 1M2    
E735724,E45E887,BCUNC TAEXTY CORPORATION                                         ,C/O QUADREAL PROPERTY GROUP                                  ,199 BAY STREET SUITE 1910                                    ,PO BOX 101                                                   ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5L 1E2    
